mf_factors,epochs,batch_size,top_k,top_n,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10,evaluated_users,total_users,composite_score
30,20,512,200,50,0.009000000000000001,0.008589285714285714,0.008956617971011327,0.045,0.0105,0.019767857142857143,0.013818084329226816,0.095,200,200,0.013818084329226816
30,20,512,250,50,0.006000000000000001,0.005464285714285715,0.006636406435198181,0.03,0.012000000000000002,0.02084920634920635,0.014398327386629457,0.11,200,200,0.014398327386629457
30,30,512,200,50,0.009,0.007894841269841269,0.010029652764636457,0.045,0.009000000000000001,0.015071608946608946,0.013371248132006726,0.085,200,200,0.013371248132006726
30,30,512,250,50,0.015,0.01293452380952381,0.014125171817946947,0.075,0.0105,0.01851785714285714,0.015506454893143746,0.105,200,200,0.015506454893143746
50,20,512,200,50,0.009000000000000001,0.008906746031746031,0.01043598197759239,0.045,0.007000000000000001,0.013448412698412697,0.01167207958175176,0.065,200,200,0.01167207958175176
50,20,512,250,50,0.013999999999999999,0.013797619047619048,0.013768096954488392,0.07,0.0125,0.023101190476190477,0.01787895094434658,0.12,200,200,0.01787895094434658
50,30,512,200,50,0.008,0.007553571428571429,0.008302992418498084,0.04,0.006500000000000001,0.01242857142857143,0.010390679954079125,0.065,200,200,0.010390679954079125
50,30,512,250,50,0.011000000000000001,0.009303571428571428,0.012097044787709786,0.05,0.014000000000000002,0.024633116883116885,0.01913111501577837,0.125,200,200,0.01913111501577837
